esc,epi,n
0.8017460720655296,0.7590948849571437,1
0.2887355700718539,0.3244180841096193,3
0.14768124340608146,0.14091831065923582,7
0.07920895704738999,0.0681830840168294,20
0.04558603774026697,0.04124357790900826,55
0.026407582309539695,0.02592994344286405,148
0.015925572543327295,0.015369760294596645,403
0.009909624748140966,0.009491043818674641,1097
0.005945287986808555,0.0058569956023696215,2981
