esc,epi,n
0.3792269088343808,0.3900140150469605,1
0.23927599812252676,0.28359580298964165,3
0.16547165037299805,0.1577886922513645,7
0.0944078050247583,0.07795282785209376,20
0.05118811413277163,0.04286558492610869,55
0.02850583052302288,0.025890260894648794,148
0.01717273330965001,0.015498639697665507,403
0.00992427603316264,0.009577854436080198,1097
0.006012569590797348,0.005820721809878948,2981
